เลขบัตรประชาชน,คำนำหน้าชื่อ,ชื่อ,นามสกุล,วันเกิด,ประเภทอาชีพ,หมายเลขโทรศัพท์ติดต่อ,สอบถาม-สินเชื่อ,รับเรื่องยื่นกู้,สอบถาม-การเงิน,รายได้ต่อเดือน,หมายเหตุ,มาเป็นลูกค้ากับธนาคาร
110101201706059000,นางสาว,เเพรวนภา,วัชรพงษ์,19 ม.ค. 90,unemployed,083-556-6592,การรับเงินงวดค่าปลูกสร้างงวดสุดท้ายต้องเตรียมเอกสารอะไรบ้าง,เอกสารประกอบการขอสินเชื่อมีอะไรบ้าง,เมื่อเปิดบัญชีออมทรัพย์รับโชคแล้ว จะรับสลากออมทรัพย์อย่างไร,"23,236",,no
,นางสาว,ประภาพร,กนกพณ,1 มิ.ย. 97,management,083-665-1929,การจ่ายเงินงวดค่าผลงานการก่อสร้าง ธนาคารจ่ายเงินอย่างไร,เอกสารประกอบการขอสินเชื่อมีอะไรบ้าง,ในการโอนเงินผ่านหน้าเคาเตอร์ธนาคารจะมีค่าธรรมเนียมในการโอนเท่าไหร่,"23,798",,yes
110101201706045000,นางสาว,จิรวรรณ ,ธราธร,27 ส.ค. 93,management,083-556-2262,อัตราดอกเบี้ยระหว่างบ้านใหม่ และบ้านมือสองแตกต่างกันหรือไม่,การขอสินเชื่อมีค่าใช้จ่ายอะไรบ้าง,เมื่อเปิดบัญชีออมทรัพย์รับโชคแล้ว จะรับสลากออมทรัพย์อย่างไร,"21,616",,no
110101201706038000,นางสาว,วิลาสินี,ปัณณทัต,17 มี.ค. 92,technician,094-294-6496,หากผู้กู้ไม่มีเงินทุนสำรองในการปลูกสร้างธนาคารจะมีวิธีการช่วยเหลืออย่างไร,จะทราบวงเงินกู้ที่สามารถกู้ได้อย่างไร,ในการโอนเงินผ่านหน้าเคาเตอร์ธนาคารจะมีค่าธรรมเนียมในการโอนเท่าไหร่,"22,302",,yes
110101201706031000,นางสาว,จินตพร,อภิสิทธิ์,5 ส.ค. 99,entrepreneur,099-264-6944,การจ่ายเงินงวดค่าผลงานการก่อสร้าง ธนาคารจ่ายเงินอย่างไร,การขอสินเชื่อมีค่าใช้จ่ายอะไรบ้าง,ถ้าไม่ได้มีการทำรายการเดินบัญชีมาเป็นระยะเวลานาน สถานะของบัญชีจะเป็นอย่างไร และจะสามารถตรวจสอบสถานะของบัญชีได้โดยวิธีใด,"21,140",,yes
110101201706024000,นางสาว,กนิษฐา,อดิศักดิ์,27 ส.ค. 96,services,064-194-9299,ลูกค้าเดิมต้องการเปลี่ยนแปลงอัตราดอกเบี้ยต้องทำอย่างไร,ผู้กู้ต้องมีคุณสมบัติอย่างไร,เมื่อสมัครใช้บริการแล้ว การให้บริการที่เครื่องถอนเงินอัตโนมัติ (ATM) มีกี่บริการอะไรบ้าง,"17,178",,yes
110101201706017000,นางสาว,สุวนันต์,สัจจพล,28 มิ.ย. 96,services,061-962-4498,การรับเงินงวดค่าปลูกสร้างงวดสุดท้ายต้องเตรียมเอกสารอะไรบ้าง,เอกสารประกอบการขอสินเชื่อมีอะไรบ้าง,ถ้าไม่ได้มีการทำรายการเดินบัญชีมาเป็นระยะเวลานาน สถานะของบัญชีจะเป็นอย่างไร และจะสามารถตรวจสอบสถานะของบัญชีได้โดยวิธีใด,"26,068",,yes
110101201706010000,นางสาว,พรรณรายณ์,พิพัฒน์พงศ์,29 ธ.ค. 97,admin.,082-415-4146,ธนาคารมีวิธีการคำนวณดอกเบี้ยอย่างไร,การขอสินเชื่อมีค่าใช้จ่ายอะไรบ้าง,ในการเปิดบัญชีเงินฝากต้องใช้เอกสารอะไรบ้าง,"20,181",,yes
110101201706003000,นางสาว,นันทิกานต์,นัฐวุธ,24 มี.ค. 95,technician,094-224-6428,การรับเงินงวดค่าปลูกสร้างงวดสุดท้ายต้องเตรียมเอกสารอะไรบ้าง,ระยะเวลาการกู้สูงสุดกี่ปี,เมื่อสิ้นสุดระยะเวลาการรับฝากประจำ 3 เดือน ดังกล่าวข้างต้นแล้ว อัตราดอกเบี้ยจะเป็นอย่างไร,"27,114",,no
110101201705996000,นางสาว,เอกนรี,ธนกร,13 มี.ค. 92,student,083-599-9294,,,เมื่อสิ้นสุดระยะเวลาการรับฝากประจำ 3 เดือน ดังกล่าวข้างต้นแล้ว อัตราดอกเบี้ยจะเป็นอย่างไร,"23,007",,no
110101201705989000,นางสาว,สุภาวดี,กิตติพงค์,27 ม.ค. 99,blue-collar,093-969-4291,ธนาคารมีวิธีการคำนวณดอกเบี้ยอย่างไร,กรณีประวัติข้อมูลเครดิตไม่ปกติสามารถขอสินเชื่อเพื่อซื้อบ้านได้หรือไม่,ในการเปิดบัญชีเงินฝากต้องใช้เอกสารอะไรบ้าง,"21,929",,yes
110101201705982000,นางสาว,ธนาภรณ์,ศศินันท์ ,22 มิ.ย. 95,management,082-499-4154,การรับเงินงวดค่าปลูกสร้างงวดสุดท้ายต้องเตรียมเอกสารอะไรบ้าง,การขอสินเชื่อมีค่าใช้จ่ายอะไรบ้าง,เมื่อเปิดบัญชีออมทรัพย์รับโชคแล้ว จะรับสลากออมทรัพย์อย่างไร,"24,278",,no
110101201705975000,นางสาว,กมลชนก,สัตตบงกช,10 มี.ค. 92,technician,096-269-1466,,ผู้กู้ต้องมีคุณสมบัติอย่างไร,เมื่อสิ้นสุดระยะเวลาการรับฝากประจำ 3 เดือน ดังกล่าวข้างต้นแล้ว อัตราดอกเบี้ยจะเป็นอย่างไร,"28,118",,no
110101201705968000,นางสาว,ศศินา,วิมลรัตน์,5 ธ.ค. 98,admin.,082-449-4142,,,เมื่อสมัครใช้บริการแล้ว การให้บริการที่เครื่องถอนเงินอัตโนมัติ (ATM) มีกี่บริการอะไรบ้าง,"23,031",,yes
110101201705961000,นางสาว,อัญมณี,ฐานิกา,22 ก.ค. 92,blue-collar,095-492-9892,การจ่ายเงินงวดค่าผลงานการก่อสร้าง ธนาคารจ่ายเงินอย่างไร,จะทราบวงเงินกู้ที่สามารถกู้ได้อย่างไร,เมื่อเปิดบัญชีออมทรัพย์รับโชคแล้ว จะรับสลากออมทรัพย์อย่างไร,"25,338",,yes
110101201705954000,นางสาว,อักษราภัค,ทิพวรรณ,23 ก.ค. 99,services,097-164-4429,การจ่ายเงินงวดค่าผลงานการก่อสร้าง ธนาคารจ่ายเงินอย่างไร,ผู้กู้ต้องมีคุณสมบัติอย่างไร,ในการเปิดบัญชีเงินฝากต้องใช้เอกสารอะไรบ้าง,"17,042",,no
110101201705947000,นางสาว,วริษรา,พัชรี,18 ก.พ. 93,management,099-394-6692,การรับเงินงวดค่าปลูกสร้างงวดสุดท้ายต้องเตรียมเอกสารอะไรบ้าง,จะทราบวงเงินกู้ที่สามารถกู้ได้อย่างไร,เมื่อสิ้นสุดระยะเวลาการรับฝากประจำ 3 เดือน ดังกล่าวข้างต้นแล้ว อัตราดอกเบี้ยจะเป็นอย่างไร,"17,781",,yes
110101201705940000,นางสาว,อาทิติยา,วาทินี,16 เม.ย. 93,management,094-169-2563,ลูกค้าเดิมต้องการเปลี่ยนแปลงอัตราดอกเบี้ยต้องทำอย่างไร,การขอสินเชื่อมีค่าใช้จ่ายอะไรบ้าง,เมื่อสิ้นสุดระยะเวลาการรับฝากประจำ 3 เดือน ดังกล่าวข้างต้นแล้ว อัตราดอกเบี้ยจะเป็นอย่างไร,"18,713",,no
110101201705933000,นางสาว,กฤติยาณี,เนตรนภา,24 ก.ย. 93,services,094-652-9462,,เอกสารประกอบการขอสินเชื่อมีอะไรบ้าง,เมื่อเปิดบัญชีออมทรัพย์รับโชคแล้ว จะรับสลากออมทรัพย์อย่างไร,"15,210",,no
110101201705926000,นางสาว,ณัฐวรา,วริศรา,8 มิ.ย. 94,entrepreneur,064-928-2691,,เอกสารประกอบการขอสินเชื่อมีอะไรบ้าง,เมื่อเปิดบัญชีออมทรัพย์รับโชคแล้ว จะรับสลากออมทรัพย์อย่างไร,"15,928",,no
110101201705919000,นางสาว,ธิดารัตน์,ปิยะดา,18 มิ.ย. 91,housemaid,099-693-6929,,การขอสินเชื่อมีค่าใช้จ่ายอะไรบ้าง,ในการเปิดบัญชีเงินฝากต้องใช้เอกสารอะไรบ้าง,"22,955",,no
110101201705912000,นางสาว,สุมณฑา,อังคณา,15 ก.ย. 92,management,093-926-9498,,เอกสารประกอบการขอสินเชื่อมีอะไรบ้าง,ในการโอนเงินผ่านหน้าเคาเตอร์ธนาคารจะมีค่าธรรมเนียมในการโอนเท่าไหร่,"20,850",,no
110101201705905000,นางสาว,สุพัตรา,สุจิตรา,16 เม.ย. 99,blue-collar,089-641-7979,การรับเงินงวดค่าปลูกสร้างงวดสุดท้ายต้องเตรียมเอกสารอะไรบ้าง,การขอสินเชื่อมีค่าใช้จ่ายอะไรบ้าง,เมื่อสมัครใช้บริการแล้ว การให้บริการที่เครื่องถอนเงินอัตโนมัติ (ATM) มีกี่บริการอะไรบ้าง,"15,068",,yes
110101201705898000,นางสาว,นันทรัตน์,วรกานต์ ,27 ธ.ค. 95,retired,097-926-9498,ธนาคารมีวิธีการคำนวณดอกเบี้ยอย่างไร,จะทราบวงเงินกู้ที่สามารถกู้ได้อย่างไร,ในการโอนเงินผ่านหน้าเคาเตอร์ธนาคารจะมีค่าธรรมเนียมในการโอนเท่าไหร่,"20,026",,no
110101201705891000,นางสาว,ธนัญญา,ส้อลีห๊ะ,23 ธ.ค. 98,self-employed,093-953-5698,หากผู้กู้ไม่มีเงินทุนสำรองในการปลูกสร้างธนาคารจะมีวิธีการช่วยเหลืออย่างไร,ระยะเวลาการกู้สูงสุดกี่ปี,ในการเปิดบัญชีเงินฝากต้องใช้เอกสารอะไรบ้าง,"17,477",,no
110101201705884000,นางสาว,นูรฮานาน,ปรียารัตน์,25 เม.ย. 95,admin.,094-662-9398,ลูกค้าเดิมต้องการเปลี่ยนแปลงอัตราดอกเบี้ยต้องทำอย่างไร,จะทราบวงเงินกู้ที่สามารถกู้ได้อย่างไร,เมื่อสมัครใช้บริการแล้ว การให้บริการที่เครื่องถอนเงินอัตโนมัติ (ATM) มีกี่บริการอะไรบ้าง,"17,350",,no
110101201705877000,นางสาว,รัตติกาล,ธัญญารัตน์,25 มิ.ย. 90,retired,095-593-9441,อัตราดอกเบี้ยระหว่างบ้านใหม่ และบ้านมือสองแตกต่างกันหรือไม่,ผู้กู้ต้องมีคุณสมบัติอย่างไร,ถ้าไม่ได้มีการทำรายการเดินบัญชีมาเป็นระยะเวลานาน สถานะของบัญชีจะเป็นอย่างไร และจะสามารถตรวจสอบสถานะของบัญชีได้โดยวิธีใด,"18,323",,no
110101201705870000,นางสาว,นิรชา,ณัฐธิดา,29 มิ.ย. 98,technician,081-426-4496,อัตราดอกเบี้ยระหว่างบ้านใหม่ และบ้านมือสองแตกต่างกันหรือไม่,จะทราบวงเงินกู้ที่สามารถกู้ได้อย่างไร,ถ้าไม่ได้มีการทำรายการเดินบัญชีมาเป็นระยะเวลานาน สถานะของบัญชีจะเป็นอย่างไร และจะสามารถตรวจสอบสถานะของบัญชีได้โดยวิธีใด,"18,778",,no
110101201705863000,นางสาว,ปาณิศา,สุกัลยา,6 มี.ค. 99,management,085-945-1962,,,เมื่อสมัครใช้บริการแล้ว การให้บริการที่เครื่องถอนเงินอัตโนมัติ (ATM) มีกี่บริการอะไรบ้าง,"18,454",,no
110101201705856000,นางสาว,มลธิญา,เจนจิรา,2 พ.ค. 97,management,082-445-1454,หากผู้กู้ไม่มีเงินทุนสำรองในการปลูกสร้างธนาคารจะมีวิธีการช่วยเหลืออย่างไร,จะทราบวงเงินกู้ที่สามารถกู้ได้อย่างไร,เมื่อสมัครใช้บริการแล้ว การให้บริการที่เครื่องถอนเงินอัตโนมัติ (ATM) มีกี่บริการอะไรบ้าง,"17,602",,yes
110101201705849000,นางสาว,สุรางรัตน์,สุมินตรา,23 พ.ย. 98,technician,082-474-4491,การรับเงินงวดค่าปลูกสร้างงวดสุดท้ายต้องเตรียมเอกสารอะไรบ้าง,กรณีประวัติข้อมูลเครดิตไม่ปกติสามารถขอสินเชื่อเพื่อซื้อบ้านได้หรือไม่,,"18,157",,no
